"id","name","parent_id","date"
"20018","The Karnstein Trilogy",\N,"1971-10-03"
"20019","Der WiXXer",\N,"2007-03-22"
"20148","Fantômas-Trilogie",\N,"1967-06-20"
"20201","Fallen",\N,"2007-08-05"
"20318","Cruel Intentions",\N,"2004-05-25"
"20322","Dekalog",\N,"1988-12-31"
"20461","Alvin and the Chipmunks",\N,"2015-12-06"
"20870","The Avengers",\N,"2018-05-04"
"21189","Fantomas",\N,"1980-10-11"
"21384","American Graffiti",\N,"1979-08-03"
"21472","Breathless - Dominance of the Moment",\N,\N
"21502","Cats & Dogs",\N,"2020-11-12"
"21547","20th Century Boys",\N,"2009-08-29"
"21672","Hexe Lilli",\N,"2017-11-09"
"22094","Madagascar",\N,"2012-05-18"
"22763","Millenium Trilogie",\N,"2009-11-27"
"23033","8 MM",\N,"2005-11-22"
"23065","Wir werden alle überwacht!",\N,"2006-01-03"
"23103","Maniac Cop",\N,"1993-02-01"
"23229","The Glass House",\N,"2006-10-03"
"23234","Carry On",\N,"1992-10-02"
"24770","Cars",\N,"2017-06-10"
"25649","The Santa Clause",\N,"2006-11-02"
"26193","Trilogia del dollaro",\N,"1966-12-23"
"26250","Tempelriddernes Skat",\N,"2008-03-14"
"26274","Bring It On",\N,"2009-09-01"
"26283","Return of the Living Dead",\N,"2005-10-15"
"26460","Crazy Race",\N,"2006-10-22"
"26467","Halifax f.p.",\N,"1998-09-06"
"26700","Gonger",\N,"2010-01-25"
"27090","Six contes moraux",\N,"1972-09-29"
"27598","Freche Mädchen",\N,"2008-07-17"
"27765","Smokin' Aces",\N,"2010-01-19"
"28322","L'ennemi public n°1",\N,"2008-10-22"
"28605","The Fly",\N,"1989-02-10"
"29121","BarberShop",\N,"2004-01-20"
"29371","Yusuf Trilogie",\N,"2010-02-11"
"29643","Sherlock Holmes",\N,"2011-12-22"
"29905","100 Jahre Deutschland",\N,\N
"30296","The Boondock Saints",\N,"2009-10-30"
"30872","Tron",\N,"2024-04-06"
"31378","Agent Aika",\N,"2009-01-01"
"32360","Kreation versus Evolution",\N,"2010-01-07"
"32641","Kottan ermittelt",\N,"2010-12-03"
"32957","Monsters, Inc.",\N,"2023-02-04"
"33096","デスノート",\N,"2017-08-24"
"33220","Riget",\N,"1997-09-05"
"33258","The Sandlot",\N,"2007-04-21"
"33538","Kick-Ass",\N,"2013-08-14"
"33579","Johnny English",\N,"2018-09-20"
"33762","Yip Man",\N,"2019-12-19"
"34296","Contes des quatres Saisons",\N,"1998-09-07"
"35020","Kurtlar vadisi",\N,"2010-11-05"
"35913","リング",\N,"2000-01-22"
"35914","The Ring",\N,"2017-02-01"
"36332","The Gate",\N,"1990-01-01"
"36457","Bumfights",\N,\N
"36760","In 3 Tagen bist du tot",\N,"2008-08-10"
"37250","Der Doc und die Hexe",\N,"2012-09-20"
"37411","Keinohrhasen",\N,"2011-01-01"
"37546","Kreation - Evolution",\N,"2004-02-13"
"38184","Missing in Action",\N,"1988-01-22"
"39077","Merah Putih",\N,"2010-09-08"
"40562","Blender",\N,"2012-09-26"
"41398","The Hunchback of Notre Dame",\N,"2002-02-13"
"41429","Green Street Hooligans",\N,"2013-10-21"
"42203","Kreutzer kommt",\N,"2012-10-20"
"42839","Rockt das Brot",\N,"2006-06-24"
"45044","Klovn",\N,"2022-09-04"
"46799","Teen Wolf",\N,"1987-11-20"
"46885","Atlas Shrugged",\N,"2014-09-12"
"49176","Niko",\N,"2012-09-29"
"50893","French Connection",\N,"1975-05-18"
"51231","K-9",\N,"2002-07-30"
"52776","Police State",\N,"2010-01-01"
"53031","Conan",\N,"1984-06-29"
"53087","The Descent",\N,"2009-08-24"
"53238","Wanted",\N,"2008-06-27"
"53820","New Kids",\N,"2011-12-08"
"53930","Keine Zeit für Rebellion",\N,"2011-02-18"
"55467","Olympia",\N,"1938-04-25"
"56301","Иван Грозный",\N,"1946-01-01"
"56789","Tokugawa",\N,"1969-05-02"
"57042","The Princess Diaries",\N,"2004-08-07"
"57448","ギニーピッグ",\N,"1991-01-01"
"57734","Über den Inseln Afrikas",\N,"2011-07-12"
"57822","Nativity",\N,"2012-11-23"
"58088","La Cage Aux Folles",\N,"1980-12-10"
"58300","Mondo Cannibale",\N,"1983-06-03"
"58355","The Cremaster Cycle",\N,\N
"58443","Dog Star Man",\N,"1964-01-01"
"58612","Hitori kakurenbo",\N,"2009-05-23"
"59435","Men In Black",\N,"2019-06-11"
"59488","Fantômas",\N,"1914-05-01"
"59537","Westworld",\N,"1976-08-13"
"59543","Arsène Lupin contra Sherlock Holmes",\N,"1911-03-04"
"60091","Soukromé století",\N,\N
"61677","Frankenstein",\N,"1948-06-15"
"62136","Despicable Me",\N,"2017-06-14"
"63212","Carrie",\N,"1999-03-12"
"63257","Save the Last Dance",\N,"2006-01-01"
"63421","Grease",\N,"1982-06-11"
"63731","Van Helsing",\N,"2004-05-11"
"64795","Paranormal Activity",\N,"2021-10-29"
"64808","Candyman",\N,"2021-08-22"
"66952","La Boum",\N,"1982-01-01"
"69050","Człowiek z marmuru",\N,"1981-07-27"
"71766","Zukunft Erde",\N,"2011-11-10"
"71894","人間の條件",\N,"1961-01-28"
"72880","Sturm aus dem Norden",\N,"2012-11-16"
"75172","Dreileben",\N,"2011-08-29"
"75945","National Lampoon's Vacation",\N,"2015-07-29"
"75946","The Smurfs",\N,"2017-03-30"
"76699","The Hunger Games",\N,"2023-11-15"
"77672","Allein unter ...",\N,"2014-12-01"
"79488","The Cousins' War",\N,"2020-11-29"
"81223","Fünf Freunde",\N,"2018-03-15"
"81495","MacGyver",\N,"2021-04-30"
"81500","Inga Lindström",\N,"2023-09-20"
"81501","Rosamunde Pilcher",\N,"2023-09-24"
"81504","Der Staatsanwalt hat das Wort",\N,"1991-06-16"
"81505","Marie Brand",\N,"2023-04-08"
"81506","Lauras Stern",\N,"2021-12-09"
"81578","Diary of a Wimpy Kid",\N,"2017-05-17"
"81758","Wrong Turn",\N,"2021-01-26"
"81773","The Rockford Files",\N,"1999-04-20"
"81820","How to Train Your Dragon",\N,"2019-01-03"
"81840","Per Fly Trilogie",\N,"2005-08-26"
"82310","Hercules: The Legendary Journeys",\N,"1999-11-22"
"82479","Dorfpolizist Krause",\N,"2022-12-16"
"82749","In einem Land vor unserer Zeit",\N,"2016-02-02"
"82836","Sechs auf einen Streich",\N,"2022-12-26"
"83537","Lotta & ...",\N,"2019-04-25"
"84053","Neben der Spur",\N,"2022-01-31"
"84144","Der Metzger...",\N,"2015-02-12"
"84424","The Brotherhood",\N,"2005-03-01"
"84834","Polt",\N,"2018-02-02"
"84836","Sams",\N,"2012-03-29"
"85680","G.I. Joe",\N,"2021-07-21"
"86181","The Librarian",\N,"2018-02-07"
"86746","Annika Bengtzon",\N,"2012-06-26"
"86820","Taken",\N,"2018-06-30"
"86903","Beverly Hills Chihuahua",\N,"2012-09-03"
"87099","Taunuskrimi",\N,"2022-02-16"
"87442","Leprechaun",\N,"2014-08-26"
"87625","Ernest",\N,"1998-01-01"
"87640","Insidious",\N,"2023-06-27"
"87729","Ein Sommer in ...",\N,"2023-04-30"
"88278","Firefly",\N,"2005-09-05"
"88311","Liebe am Fjord",\N,"2016-10-19"
"88754","Utta Danella",\N,"2015-11-20"
"88757","Katie Fforde",\N,"2021-01-10"
"88774","Clash of the Titans",\N,"2012-03-28"
"88825","The Hangover",\N,"2013-05-22"
"88970","Sharknado",\N,"2018-08-19"
"89241","Shanghai Noon",\N,"2003-01-30"
"89242","Ghost Rider",\N,"2012-02-17"
"89463","American Ninja",\N,"1990-08-31"
"89638","Nature Unleashed",\N,"2005-04-12"
"89665","Percy Jackson",\N,"2013-08-07"
"89803","Barbie",\N,"2022-09-01"
"89804","Dhoom",\N,"2013-12-19"
"89976","Spawn",\N,"2003-11-21"
"89988","Spider-Man",\N,"2024-03-29"
"90257","RED",\N,"2013-07-18"
"90420","Kokowääh",\N,"2013-02-07"
"90459","Die Nibelungen",\N,"1924-04-26"
"90473","The Disappearance of Eleanor Rigby",\N,"2014-05-17"
"90738","Balto",\N,"2004-09-30"
"90977","Charlie's Angels",\N,"2019-11-11"
"91005","Bad Boys",\N,"2020-01-17"
"91079","Den som dræber",\N,"2011-05-08"
"91188","Robert Langdon",\N,"2016-10-08"
"91348","Death Race",\N,"2018-10-02"
"91466","Trilogie marseillaise",\N,"1936-11-11"
"91472","Märchenperlen",\N,"2021-12-24"
"91541","Gremlins",\N,"1990-06-15"
"91551","The Cell",\N,"2009-02-27"
"91576","Joachim Vernau",\N,"2023-02-13"
"91639","The Good Witch",\N,"2011-08-05"
"91768","Flicka",\N,"2012-04-01"
"91874","Das Beste kommt erst",\N,"2015-12-22"
"91923","Before Sunrise",\N,"2013-01-20"
"92122","The Thing",\N,"2011-10-13"
"92229","Johnny Worricker",\N,"2014-03-27"
"92318","Natalie - Babystrich",\N,"2003-01-28"
"92504","Frühling",\N,"2023-02-12"
"92571","Bauernprinzessin",\N,"2009-02-18"
"92719","Die Hebamme",\N,"2016-02-16"
"92779","Paradies-Trilogie",\N,"2013-02-13"
"93056","Snabba Cash",\N,"2013-08-30"
"93103","The Divergent Series",\N,"2016-03-09"
"93152","Fast-Perfekt-Trilogie",\N,"1999-02-19"
"93241","Kiriku",\N,"2012-09-28"
"93346","Bibi & Tina",\N,"2022-07-21"
"93349","Hulk",\N,"2010-02-02"
"93351","Rio",\N,"2014-03-20"
"93534","Red Riding",\N,"2009-02-28"
"93624","Jack Ryan",\N,"2023-07-14"
"93663","Grown Ups",\N,"2013-07-11"
"93667","Mitten in Deutschland: NSU",\N,"2016-04-06"
"93788","Paul Blart: Mall Cop",\N,"2015-04-09"
"93956","Dead Snow",\N,"2014-01-19"
"94084","Kluftingerkrimi",\N,"2016-06-26"
"94253","BloodRayne",\N,"2011-09-06"
"94391","Night at the Museum",\N,"2022-12-09"
"94471","The Punisher",\N,"2012-01-01"
"94544","John Carpenter's Vampires",\N,"2005-01-02"
"94592","Die Heilerin",\N,"2008-12-17"
"94666","30 Days of Night",\N,"2010-09-01"
"94719","Journey",\N,"2012-01-19"
"94773","The Dog Who Saved...",\N,"2015-06-09"
"94774","The Scorpion King",\N,"2018-10-23"
"94798","Von Kreta nach Malta",\N,"2015-11-06"
"94922","Vorstadtkrokodile",\N,"2011-01-20"
"94924","Ironclad",\N,"2014-03-14"
"94925","Elizabeth",\N,"2007-09-09"
"94963","Machete",\N,"2013-09-26"
"95116","Brüder",\N,"2006-05-10"
"95364","Quarantine",\N,"2011-01-27"
"95516","Wohin und zurück",\N,"1986-03-09"
"95577","Alex Cross",\N,"2012-10-15"
"95626","The Mask",\N,"2005-02-18"
"95820","Fanny",\N,"2016-06-03"
"96003","Rico und Oskar",\N,"2016-04-28"
"96118","The Purge",\N,"2021-07-02"
"96121","Edelstein-Trilogie",\N,"2016-07-07"
"96141","Dora Heldt",\N,"2016-05-05"
"96238","The Bill Douglas Trilogy",\N,"1976-01-01"
"96311","Reihenhaus",\N,"2016-05-26"
"96417","Die Vampirschwestern",\N,"2016-12-08"
"96547","Lilo & Stitch",\N,"2006-06-23"
"96972","Fred Vargas",\N,"2009-03-18"
"97104","Cloudy with a Chance of Meatballs",\N,"2013-09-26"
"97110","Thor",\N,"2017-10-10"
"97283","Batman: The Dark Knight Returns",\N,"2013-01-29"
"97416","The Marine",\N,"2017-04-24"
"97931","Nymphomaniac",\N,"2013-12-25"
"97935","Paradise Lost",\N,"2011-09-11"
"97972","Sinister",\N,"2015-08-19"
"98016","Wolf Creek",\N,"2013-08-30"
"98040","Undisputed",\N,"2016-09-22"
"98336","Eberhoferkrimi",\N,"2023-07-31"
"98417","Usedom-Krimi",\N,"2022-10-27"
"98523","Under Siege",\N,"1995-07-14"
"98616","Almighty",\N,"2007-06-10"
"98790","Saints And Soldiers",\N,"2014-08-15"
"98932","Gourmet Detective",\N,"2015-08-02"
"98935","Trancers",\N,"1991-05-01"
"99158","Death Wish",\N,"1994-01-14"
"99195","As Mil e Uma Noites",\N,"2015-05-20"
"99251","Alles was recht ist",\N,"2011-01-20"
"99300","Mr. Bean",\N,"2007-03-22"
"99359","Daddy Day Care",\N,"2007-08-08"
"99426","Into the Blue",\N,"2009-04-21"
"99544","Familie Sandgruber",\N,"2009-01-17"
"99545","Fright Night",\N,"2013-10-01"
"99672","Mirrors",\N,"2010-01-01"
"99802","Dragonball Z - The Movies",\N,"2015-03-30"
"99807","The Design of Life",\N,"2013-01-01"
"99849","Maze Runner",\N,"2018-01-11"
"99941","Pane, amore e...",\N,"1955-12-22"
"99987","The Expendables",\N,"2023-09-15"
"100037","300",\N,"2014-03-05"
"100070","Veronica Mars",\N,"2019-07-19"
"100125","Meatballs",\N,"1992-03-06"
"100385","Die Alpenklinik",\N,"2011-09-08"
"100617","Der Hafenpastor",\N,"2016-10-14"
"101116","Kommissar Hattinger",\N,"2016-10-17"
"101157","Antboy",\N,"2016-02-11"
"101369","Air Buddies",\N,"2013-08-08"
"101446","The Gamers",\N,"2013-01-01"
"101516","Arthur et les Minimoys",\N,"2010-10-13"
"101604","On Wings of Eagles",\N,"1986-05-19"
"101814","Almuth und Rita",\N,"2016-11-25"
"101924","Niederbayernkrimi",\N,"2013-10-19"
"102003","Legally Blonde",\N,"2009-04-14"
"102091","Minority Report",\N,"2015-11-30"
"102109","Captain America",\N,"2014-03-13"
"102218","Jump Street",\N,"2014-06-05"
"102366","Wanderhure",\N,"2012-11-13"
"102374","Snezhnaya koroleva",\N,"2018-12-21"
"102680","Heroes",\N,"2016-01-21"
"102691","Manuale d'amore",\N,"2011-02-25"
"102704","Pettson och Findus",\N,"2018-09-13"
"102822","Landkrimi",\N,"2023-09-19"
"102838","Mrs. Miracle",\N,"2010-11-27"
"102918","Willy Wuff",\N,"1997-12-21"
"102924","Santa Paws",\N,"2012-11-20"
"102934","Dengler",\N,"2021-11-22"
"102981","Winnetou - Der Mythos lebt",\N,"2016-12-29"
"103042","Z pekla štěstí",\N,"2001-02-01"
"103148","Onneli ja Anneli",\N,"2015-10-09"
"103172","Horrible Bosses",\N,"2014-11-12"
"103362","Ein Schnitzel für drei",\N,"2022-12-07"
"103377","The Cutting Edge",\N,"2010-03-14"
"103499","Les Bronzés",\N,"2006-02-01"
"103500","Limitless",\N,"2016-04-26"
"104293","John Wick",\N,"2023-03-22"
"104360","Spy Kids",\N,"2011-08-18"
"104588","House Party",\N,"1991-10-23"
"104645","Timecop",\N,"2003-09-30"
"104676","Amityville",\N,"2018-10-09"
"104714","Weltethos: Die globale Transformation",\N,"2011-05-29"
"104743","Zwei Väter einer Tochter",\N,"2005-01-06"
"104768","Dragonheart",\N,"2020-02-04"
"104776","Mythica",\N,"2015-12-11"
