"movie_id","vote_average","votes_count"
"1133","8","4"
"1134","8","2"
"1135","6.8000001907","5"
"1136","9","7"
"1137","7","7"
"1138","6","5"
"1139","6","1"
"1140","8","3"
"1141","7","2"
"1142","9","1"
"1144","7","1"
"1145","8","2"
"1146","9","1"
"1147","6","1"
"1148","7","1"
"1149","9","1"
"1150","8","1"
"1151","6","1"
"1152","7","1"
"1153","9.5","2"
"1154","7","1"
"1155","7","1"
"1156","8","1"
"1157","7","2"
"1158","7","1"
"1159","9","3"
"1160","9","3"
"1163","7","1"
"1164","6.7272725105","22"
"1165","6.5","14"
"1167","4","2"
"1168","6.3333301544","6"
"1169","7.8000001907","5"
"1170","8","1"
"1171","6.8000001907","5"
"1172","6.5","2"
"1173","6","2"
"1174","7","6"
"1175","6","2"
"1176","9","2"
"1177","7","4"
"1178","7","5"
"1179","7","2"
"1180","7","2"
"1181","6.5","2"
"1182","7","3"
"1183","9","3"
"1184","8","1"
"1185","6","1"
"1186","6","2"
"1187","1","1"
"1188","6.5","2"
"1189","5","1"
"1190","7.5","4"
"1192","7","3"
"1193","7.6666698456","3"
"1194","7","1"
"1195","6.5","2"
"1196","7","2"
"1197","7.6666698456","3"
"1198","7.5","4"
"1199","9.1999998093","5"
"1200","7.6666698456","3"
"1201","7","1"
"1202","8.3333301544","3"
"1203","7","4"
"1204","8","1"
"1205","8.3999996185","5"
"1206","8","1"
"1207","8","1"
"1208","8.5","4"
"1209","9","5"
"1210","9","1"
"1211","8.75","4"
"1212","8.6000003815","5"
"1213","6.5333333015","15"
"1215","4","4"
"1216","9","4"
"1217","7","4"
"1219","6","1"
"1220","7","1"
"1221","8","1"
"1222","6","2"
"1223","6.5","4"
"1224","9","2"
"1225","6","1"
"1226","6","1"
"1227","5.5","4"
"1228","6","1"
"1229","4","1"
"1230","7","2"
"1231","6","1"
"1232","7.1999998093","5"
"1233","7.3333301544","3"
"1234","6","3"
"1235","6","1"
"1236","7","1"
"1237","6.5","2"
"1238","7.5","2"
"1239","7","1"
"1242","8","2"
"1243","7","1"
"1244","3.5999999046","15"
"1245","8.25","4"
"1246","4.8490600586","53"
"1247","6.3846154213","13"
"1248","6.2857141495","7"
"1249","6.1666698456","6"
"1250","6.2307691574","13"
"1251","6.5384616852","13"
"1252","5.875","8"
"1253","7","2"
"1254","6.4545497894","11"
"1255","6.4090900421","22"
