"category_id","name","language_iso_639_1"
"126","Romantische Komödie","de"
"126","Romantic Comedy","en"
"126","Comedia romántica","es"
"126","Comédie romantique","fr"
"126","Komedia romantyczna","pl"
"127","Ehedrama","de"
"127","Marital Tragedy","en"
"127","Tragedia matrimonial","es"
"127","Drame conjugual","fr"
"127","Dramat małżeński","pl"
"128","Beziehungsdreieck","de"
"128","Dreiecksbeziehung","de"
"128","Beziehungsdreieck","en"
"128","Love Triangle","en"
"128","Triángulo amoroso","es"
"129","Coming Out","de"
"129","Coming Out","en"
"129","Salir del armario","es"
"130","Melodram","de"
"130","Melodrama","de"
"130","Melodrama","en"
"130","Melodrama","es"
"130","Melodrame","fr"
"130","Melodramat","pl"
"131","Italien","de"
"131","Italy","en"
"131","Italia","es"
"131","Italie","fr"
"133","Familiensaga","de"
"133","Family Saga","en"
"133","Saga familiar","es"
"133","Saga familiale","fr"
"133","Saga rodzinna","pl"
"134","Gerechtigkeitsdrama","de"
"134","Justice Drama","en"
"134","Justicia","es"
"134","Drame judiciaire","fr"
"134","Wymiar sprawiedliwości","pl"
"135","Gerichtsdrama","de"
"135","Courtroom Drama","en"
"135","Forensic","en"
"135","Drama legal","es"
"135","Drame de cour de justice","fr"
"135","Dramat sądowniczy","pl"
"136","Agentenfilm","de"
"136","Agententhriller","de"
"136","Geheimdienstfilm","de"
"136","Spionagefilm","de"
"136","Espionage","en"
"136","Secret Agent","en"
"136","Secret Service","en"
"136","Spy","en"
"136","Servicio Secreto","es"
"136","Services secrets","fr"
"136","Tajne służby","pl"
"138","Militärfilm","de"
"138","Military Film","en"
"138","Bélico","es"
"138","Film militaire","fr"
"138","Film o tematyce wojskowej","pl"
"139","Anti Terror","de"
"139","Antiterror","de"
"139","Anti Terror","en"
"139","Antiterrorista","es"
"141","Psycho-Thriller","de"
"141","Psychodrama","de"
"141","Psychothriller","de"
"141","Psychological Thriller","en"
"141","Suspense psicológico","es"
"141","Thriller psychologique","fr"
"141","Thriller psychologiczny","pl"
"142","Erotik-Thriller","de"
"142","Erotikthriller","de"
"142","Erotic Thriller","en"
"142","Suspense erótico","es"
"142","Thriller érotique","fr"
"142","Thriller erotyczny","pl"
"143","Gangster","de"
"143","Ganove","de"
"143","Ganoven","de"
"143","Gauner","de"
"143","Gaunerei","de"
"143","Gaunerpaar","de"
"143","Gangster","en"
"143","Gauner","en"
"143","Gaunerpaar","en"
"143","Bandido","es"
"143","Gángster","es"
"143","Granuja","es"
"143","Maleante","es"
"143","Timador","es"
"144","Detektivfilm","de"
"144","Detective Film","en"
"144","Detectives","es"
"144","Enquête détective","fr"
"144","Kryminał detektywistyczny","pl"
"145","Piratenfilm","de"
"145","Pirate Film","en"
"145","Piratas","es"
"145","Film de pirates","fr"
"145","Film o piratach","pl"
"147","Mantel und Degen-Film","de"
"147","Mantel-und-Degen-Film","de"
"147","Cloak-And-Dagger Film","en"
"147","Swashbuckler","en"
"147","De capa y espada","es"
"147","Film de cape et d'épée","fr"
"147","Film płaszcza i szpady","pl"
"148","Sandalenfilm","de"
"148","Swords and Sandals","en"
"148","Cine histórico de aventuras","es"
"148","Péplum","fr"
"148","Film o tematyce antycznej","pl"
"149","Monumentalfilm","de"
"149","Monumental Film","en"
"149","Película monumental","es"
"151","epische Fantasy","de"
"151","High Fantasy","de"
"151","High Fantasy","en"
"151","Fantasía en mundo de ficción","es"
"151","High Fantasy","fr"
"152","Sword And Sorcery","de"
"152","Sword And Sorcery","en"
"152","Espada y hechicería","es"
"154","Contemporary Fantasy","de"
"154","Gegenwartsfantasy","de"
"154","Urban Fantasy","de"
"154","Urbane Fantasy","de"
"154","Contemporary Fantasy","en"
"154","Modern-Day Fantasy","en"
"154","Urban Fantasy","en"
"154","Fantasía Contemporánea","es"
"154","Fantasy urbaine","fr"
"157","Gorefilm","de"
"157","Splatterfilm","de"
"157","Splatterfilm / Gorefilm","de"
"157","Gore Film","en"
"157","Splatter Film","en"
"157","Splatter Film / Gore Film","en"
"157","Splatter / Cine gore","es"
"157","Splatter / Film gore","fr"
"157","Krwawy horror","pl"
"158","Monsterfilm","de"
"158","Monster Film","en"
"158","Película de monstruos","es"
"158","Monstres","fr"
"158","Film o potworach","pl"
"159","Aliens","de"
"159","Außerirdische","de"
"159","Weltraummonster-Film","de"
"159","Aliens","en"
"159","Extraterrestrial Monsters","en"
"159","Extraterrestres","es"
"159","Potwory pozaziemskie","pl"
"161","Werwolf","de"
"161","Werwolf-Film","de"
"161","Werewolf","en"
"161","Werewolve-Movie","en"
"161","Hombres lobo","es"
"161","Wilkołaki","pl"
"162","Kannibalenfilm","de"
"162","Cannibal-Movie","en"
"162","Caníbales","es"
"162","Kanibale","pl"
"163","Vampirfilm","de"
"163","Vampiremovie","en"
"163","Vampirfilm","en"
"163","Vampiros","es"
"163","Wampiry","pl"
"164","Zombiefilm","de"
"164","Zombiefilm","en"
"164","Película de zombis","es"
"164","Zombie","pl"
"165","Satanismus","de"
"165","Satanism","en"
"165","Satanismo","es"
"165","Satanisme","fr"
"165","Satanizm","pl"
"166","Besessenheit","de"
"166","Obsession","en"
"166","Obsesión","es"
"166","Obsesja","pl"
"168","Okkulthorrorfilm","de"
"168","Occult Horror Film","en"
"168","Terror oculto","es"
"168","Horreur -Occultisme","fr"
"168","Horror okultystyczny","pl"
"169","Teen-Slasher","de"
"169","Teen Horror Film","en"
"169","Terror adolescente","es"
"169","Nastoletnie ofiary","pl"
"170","Spukhausfilm","de"
"170","Ghost-House-Movies","en"
"170","Haunted House Film","en"
"170","Casa encantada","es"
"170","Maison hantée","fr"
"170","Przeklęty dom","pl"
"186","Christentum","de"
"186","Christianity","en"
"186","Cristianismo","es"
"187","Islam","de"
"187","Islam","en"
"187","Islam","es"
"188","Buddhismus","de"
"188","Buddhism","en"
"188","Budismo","es"
"190","Klassischer Western","de"
"190","Classical Western","en"
"190","Western clásico","es"
"190","Western classique","fr"
"190","Klasyczny western","pl"
"191","Eurowestern","de"
"191","Italowestern","de"
"191","Prügel-Western-Komödie","de"
"191","Spaghettiwestern","de"
"191","Italo-Western","en"
"191","Spaghetti Western","en"
"191","Eurowestern","es"
"191","Spaghetti western","es"
"191","Wéstern europeo","es"
"191","Western Spaghetti","fr"
"192","Ostern","de"
"192","Ostern","en"
"192","Red Western","en"
"192","Western","es"
"192","Eastern","fr"
"193","Samuraifilm","de"
"193","Samurai Film","en"
"193","Samurái","es"
"193","Cinéma de Samurai","fr"
"193","Film samurajski","pl"
"196","Klassischer Zeichentrick","de"
"196","Klassischer Zeichentrickfilm","de"
"196","Zeichentrickfilm","de"
"196","Cartoon","en"
"196","Cel Animation","en"
"196","Classical Animation","en"
"196","Hand-Drawn Animation","en"
"196","Traditional Animation","en"
"196","Dibujos animados","es"
"196","Animation classique","fr"
"196","Klasyczna animacja","pl"
"197","Objektanimation","de"
"197","Stop Motion","de"
"197","Stop Motion","en"
"197","Película en stop motion","es"
"197","Stop Motion","es"
"197","Animation image par image","fr"
"197","Animacja objektu","pl"
"200","Wissenschaftliche Dokumentation","de"
"200","Scientific Documentary","en"
"200","Documental científico","es"
"200","Documentation scientifique","fr"
"200","Dokument naukowy","pl"
"201","Investigativer Dokumentarfilm","de"
"201","Investigative Documentary","en"
"201","Documental de investigación","es"
"201","Documentaire d'investigation","fr"
"201","Dokument śledczy","pl"
"202","Politische Dokumentation","de"
"202","Political Documentary","en"
"202","Documental político","es"
"202","Documentation politique","fr"
"202","Dokument polityczny","pl"
"204","Sozialstudie","de"
"204","Social Study","en"
"204","Estudio social","es"
"204","Étude sociale","fr"
"204","Studium społeczne","pl"
"205","Langzeitdokumentation","de"
"205","Long Term Documentary","en"
"205","Documental (periodo largo)","es"
"205","Observation documentaire à long-terme","fr"
"205","Długoterminowy dokument","pl"
"206","Ereignisdokumentation","de"
"206","Erlebnisdokumentation","de"
"206","Event Documentary","en"
"206","Documental de un evento","es"
"206","Documentaire évènementiel","fr"
"206","Reportaż sytuacyjny","pl"
"208","Naturdokumentation","de"
"208","Tierdokumentation","de"
"208","Animal Documentary","en"
"208","Nature Documentary","en"
"208","Documental de naturaleza","es"
"208","Documentaire naturel","fr"
"208","Film przyrodniczy","pl"
"209","Reale Ereignisse","de"
"209","Reales Ereignis","de"
"209","Wahre Begebenheit","de"
"209","Wahre Geschichte","de"
"209","Real Events","en"
"209","Real Life","en"
"209","True Story","en"
"209","wahre Geschichte","en"
"209","Historia real","es"
"210","Biografie","de"
"210","Biographie","de"
"210","Biography","en"
"210","Biografía","es"
"211","Bürokratie","de"
"211","Bureaucracy","en"
"211","Burocracia","es"
"212","London","de"
"212","London","en"
"212","Londres","es"
"213","High Society","de"
"213","High Society","en"
"213","Upper Class","en"
"213","Alta sociedad","es"
"218","Cyberpunk","de"
"218","Cyberpunk","en"
"218","Ciberpunk ","es"
"219","Psychodrama","de"
"219","Psychodrama","en"
"219","Psicodrama","es"
"219","Psychodrame","fr"
"219","Dramat psychologiczny","pl"
"220","Berlin","de"
"220","Berlin","en"
"220","Berlín","es"
"222","Schizophrenie","de"
"222","Schizophrenia","en"
"222","Esquizofrenia","es"
"227","Nouvelle Vague","de"
"227","Nouvelle Vague","en"
"227","Nouvelle Vague","es"
"228","Französisches Kino","de"
"228","French Cinema","en"
"228","Cine francés","es"
"233","Japan","de"
"233","japan","de"
"233","Japan,Kirschblüte","de"
"233","Nippon","de"
"233","Japan","en"
"233","japan","en"
"233","Japan,Kirschblüte","en"
"233","Japón","es"
"235","Freibeuter","de"
"235","Pirat","de"
"235","Freibeuter","en"
"235","Pirate","en"
"235","Pirata","es"
"236","Freitod","de"
"236","Selbstmord","de"
"236","Selbstmord","de"
"236","Selbsttötung","de"
"236","Suizid","de"
"236","Suizid","de"
"236","Selbstmord","en"
"236","Suicide","en"
"236","Suicide","en"
"236","suicide","en"
"236","Suicidio","es"
"237","Homosexueller","de"
"237","Schwuler","de"
"237","Gay","en"
"237","Homosexual","en"
"237","Gay","es"
"237","Homosexual","es"
"240","Außenseiter","de"
"240","Aussenseiter","de"
"240","Underdog","de"
"240","Outsider","en"
"240","Outsider","en"
"240","Underdog","en"
"240","Inconforme","es"
"240","Marginado","es"
"240","Outsider","es"
"241","Heist","de"
"241","Heist Film","de"
"241","Heist Movie","de"
"241","Heist-Film","de"
"241","Heist-Krimi","de"
"241","Heist-Movie","de"
"241","Heistfilm","de"
"241","Caper-Movie","en"
"241","Heist","en"
"241","Heist Film","en"
"241","Stick-up","en"
"241","Golpe","es"
"241","Heist Film","es"
"241","Heist Film","fr"
"241","Napad","pl"
"242","New York","de"
"242","New York City","de"
"242","New York City","de"
"242","NYC","de"
"242","New York","en"
"242","New York City","en"
"242","New York City","en"
"242","Ciudad de Nueva York","es"
"245","Doppelrolle","de"
"245","Mehrere Rollen","de"
"245","Multiple Roles","en"
"245","Múltiples papeles","es"
"246","Tanzen","de"
"246","Dancing","en"
"246","Bailando","es"
"246","Bailar","es"
"247","Erste Liebe","de"
"247","Jugendschwarm","de"
"247","First Love","en"
"247","Jugendschwarm","en"
"247","Primer amor","es"
"247","Premier Amour","fr"
"248","Date","de"
"248","Rendez-Vous","de"
"248","Rendezvous","de"
"248","Verabredung","de"
"248","Date","en"
"248","Verabredung","en"
"248","Cita","es"
"248","Rendez-vous","fr"
"249","Mafiafilm","de"
"249","Mafia Film","en"
"249","Mafia","es"
"249","Film de Mafia","fr"
"249","Film o mafii","pl"
"250","Caper Film","de"
"250","Caper Movie","de"
"250","Caper Story","de"
"250","Caper-Krimi","de"
"250","Caper-Movie","de"
"250","Caperfilm","de"
"250","Caper Movie","en"
"250","Caper-Movie","en"
"250","Película Caper","es"
"251","Polizeifilm","de"
"251","Police Film","en"
"251","Policíaco","es"
"251","Fiction policière","fr"
"251","Kryminał policyjny","pl"
"252","Yakuzafilm","de"
"252","Yakuza Film","en"
"252","Película de Yakuzas","es"
"252","Film de Yakuza","fr"
"254","Frankreich","de"
"254","France","en"
"254","Francia","es"
"255","Nackter Mann","de"
"255","Male Nudity","en"
"255","Desnudez masculina","es"
"256","Frauenleiche","de"
"256","Leiche","de"
"256","Leichnam","de"
"256","Sterben","de"
"256","Body","en"
"256","Corpse","en"
"256","dead bodies","en"
"256","Decease","en"
"256","Frauenleiche","en"
"256","Leiche","en"
"256","Cadáver","es"
"256","Corps","fr"
"257","Drei Soldaten","de"
"257","Soldat","de"
"257","Soldaten","de"
"257","Soldatin","de"
"257","Drei Soldaten","en"
"257","Soldaten","en"
"257","Soldatin","en"
"257","Soldier","en"
"257","Soldado","es"
"258","Bombe","de"
"258","Bomb","en"
"258","Bomba","es"
"259","Amputation","de"
"259","Amputation","en"
"259","Amputación","es"
"260","Desillusionierung","de"
"260","Disillusion","en"
"260","Disilusión","es"
"261","Los Angeles","de"
"261","Los Angeles","en"
"261","Los Angeles","es"
"262","Gewalt","de"
"262","Gewalttätigkeit","de"
"262","Gewalt","en"
"262","Gewalttätigkeit","en"
"262","Violence","en"
"262","Violencia","es"
"262","Violence","fr"
"263","Überleben","de"
"263","Defender","en"
"263","Protector","en"
"263","Survival","en"
"263","Überleben","en"
"263","Supervivencia","es"
"264","Epidemie","de"
"264","Seuche","de"
"264","Seuche","de"
"264","Epidemic","en"
"264","Seuche","en"
"264","Epidemia","es"
"265","National Film Registry","de"
"265","National Film Registry","en"
"265","EEUU","es"
"265","Regristro Nacional de Cine","es"
"268","Feier","de"
"268","Feier","de"
"268","Feier","de"
"268","Feierlichkeiten","de"
"268","Fest","de"
"268","Feier","en"
"268","Feierlichkeiten","en"
"268","Fest","en"
"268","Party","en"
"268","Fiesta","es"
"269","Tauchen","de"
"269","Underwater diving","en"
"269","Buceo","es"
"270","Ozean","de"
"270","Ocean","en"
"270","Océano","es"
"271","Konkurent","de"
"271","Konkurrent","de"
"271","Konkurrenz","de"
"271","Wettbewerb","de"
"271","Competition","en"
"271","Konkurent","en"
"271","Konkurrent","en"
"271","Competencia","es"
"271","Compétition","fr"
"275","Virus","de"
"275","Virus","en"
"275","Virus","es"
"276","Philadelphia","de"
"276","Philadelphia","en"
"277","Kassandraruf","de"
"277","Cassandra Syndrom","en"
"277","Síndrome de Cassandra","es"
"278","Stockholm-Syndrom","de"
"278","Stockholm Syndrome","en"
"278","Síndrome de Estocolmo","es"
"279","Staaten","de"
"279","States","de"
"279","USA","de"
"279","Vereinigte Staaten","de"
"279","Vereinigte Staaten von Amerika","de"
"279","United States of America","en"
"279","USA","en"
"279","Vereinigte Staaten von Amerika","en"
"279","Estados Unidos de América","es"
"279","États-Unis","fr"
"280","Landschloß","de"
"280","Schloß","de"
"280","Schloss","de"
"280","Castle","en"
"280","Landschloß","en"
"280","Castillo","es"
"282","Computerspiel","de"
"282","Videospiel","de"
"282","Computer Game","en"
"282","Videogame","en"
"282","Video juego","es"
"285","Aufbegehrende Jugend","de"
