"id","name","parent_id","date"
"7391","Season 5","6430","2007-05-14"
"7471","Season 9","36","1998-05-17"
"7521","Season Four","36","1993-05-13"
"7523","Season 5","36","1994-05-19"
"7525","Season 16","36","2005-05-15"
"7556","Season 10","36","1999-05-16"
"7558","Season 11","36","2000-05-21"
"7560","Season 12","36","2001-05-20"
"7562","Season 13","36","2002-05-22"
"7564","Season 14","36","2003-05-18"
"7566","Season 15","36","2004-05-23"
"7785","Season 1","7784","1987-07-12"
"7793","Season 2","7784","1988-05-08"
"7795","Season 3","7784","1989-05-14"
"7855","Season 1","7854","1992-05-05"
"7898","Season 2","7854","1993-05-19"
"7899","Season 3","7854","1994-05-25"
"7900","Season 4","7854","1995-05-23"
"7901","Season 5","7854","1996-05-21"
"7902","Season 6","7854","1997-05-21"
"7903","Season 7","7854","1998-05-19"
"7904","Season 8","7854","1999-05-25"
"7977","Saison 1","7976","2005-04-28"
"7990","Season 1","7989","2004-04-04"
"8097","Zeo","8006","1996-04-20"
"8099","Season 1","8098","2006-12-17"
"8100","Season 2","8098","2007-12-16"
"8101","Season 3","8098","2008-12-14"
"8127","Staffel 15","8126","2007-02-12"
"8132","Season 1","8131","2008-05-19"
"8148","Veigl","2583","1981-04-20"
"8149","SR","2583","1973-09-30"
"8150","RB","2583","1973-02-04"
"8151","Berlinger","2583","2023-10-08"
"8152","Ritter und Stark","2583","2014-11-16"
"8153","Haferkamp","2583","1980-12-14"
"8154","Konrad","2583","1976-04-11"
"8155","Ehrlicher und Kain","2583","2007-11-11"
"8156","SWF","2583","1978-01-29"
"8157","ORF","2583","1985-05-19"
"8159","Season 1","8158","2006-10-06"
"8160","Season 2","8158","2007-10-02"
"8161","Season 3","8158","2009-09-18"
"8188","Season 1","8187","2006-05-01"
"8207","von Burg, Schweiz","2583","1995-06-05"
"8225","Season 3","6342","2008-05-15"
"8228","Lutz","2583","1985-05-26"
"8231","Kasulke","2583","1972-10-08"
"8296","Season One","8295","1995-01-26"
"8360","Season 3","1445","2009-04-27"
"8364","Season 2","4262","2008-02-23"
"8396","Season 6","8395","2008-02-22"
"8473","Book 1: Water","8472","2005-12-02"
"8474","Book 2: Earth","8472","2006-12-01"
"8475","Book 3: Fire","8472","2008-07-19"
"8532","Season 1","6347","1998-05-18"
"8549","Season 5","6347","2002-05-20"
"8560","Season One","8559","2003-11-03"
"8590","Season 1","8589","1973-03-25"
"8635","Season 4","8634","2008-05-16"
"8640","Staffel 16","8126","2008-10-30"
"8657","Season 1","8655","2008-05-12"
"8660","Season 6","6292","2006-05-09"
"8678","Season 3","6716","1974-05-05"
"8707","Season 1","8706","2002-05-21"
"8708","Season 2","8706","2003-05-20"
"8709","Season 3","8706","2004-05-19"
"8710","Season 4","8706","2005-05-18"
"8711","Season 5","8706","2006-05-11"
"8712","Season 6","8706","2007-05-17"
"8713","Season 7","8706","2008-05-15"
"8750","Season 6","6430","2008-05-19"
"8811","Season 7","6082","2007-05-17"
"9094","Season 2","1502","2003-12-02"
"9105","Season 4","1502","2005-05-10"
"9106","Season 5","1502","2006-05-16"
"9107","Season 6","1502","2007-05-17"
"9108","Season 7","1502","2008-05-08"
"9209","Season 8","1502","2009-05-06"
"9850","Season 1","9848","2004-01-29"
"11263","Season 1","11262","2008-05-16"
"11288","Season 5","2864","2009-05-13"
"11751","Season One","11750","1987-02-28"
"11760","Zweite Staffel","11750","1988-02-12"
"11988","Season 1","11987","2006-05-15"
"12011","Season 2","11987","2007-05-14"
"12034","Season 3","11987","2008-05-19"
"12055","Season 4","11987","2009-05-18"
"12069","Season 4","6342","2009-05-14"
"12287","Season 1","12286","2008-05-20"
"12370","Season 4","1708","2008-03-07"
"12391","Season 5","1708","2009-01-09"
"12461","Season 20","36","2009-05-17"
"12667","Season 1","12666","2008-09-18"
"12751","Season 3","7067","2009-02-20"
"12844","Season 1","12843","2008-11-23"
"12857","Season 1","12856","2008-03-03"
"12867","Season 2","12856","2009-04-10"
"12870","Season One","12869","2002-09-08"
"12871","Season Two","12869","2003-08-24"
"12872","Season Three","12869","2004-12-19"
"12873","Season Four","12869","2006-12-10"
"12874","Season 6","23717","2003-05-14"
"12875","Season Five","12869","2008-03-09"
"12923","Season 4","1704","2008-05-19"
"12925","Season 1","12924","2006-03-03"
"12932","Season 2","12924","2007-09-28"
"12979","Season 3","6742","1989-08-27"
"12980","Season 4","6742","1990-05-13"
"12981","Season 5","6742","1991-05-19"
"12982","Season 6","6742","1992-05-17"
"12983","Season 7","6742","1993-05-23"
"13029","Season 8","6742","1994-05-22"
"13030","Season 9","6742","1995-05-21"
"13031","Season 10","6742","1996-05-26"
"13032","Season 11","6742","1997-06-09"
"13144","Season 1","13143","1965-06-10"
"13195","Season 1","13194","1999-04-04"
"13196","Season 2","13194","2000-04-09"
"13197","Season 3","13194","2001-05-20"
"13198","Season 4","13194","2002-12-08"
"13199","Season 5","13194","2004-06-06"
"13200","Season 6","13194","2007-06-10"
"13297","Season 1","1706","1998-03-06"
"13402","Staffel 1","13401","1999-04-26"
"13417","Staffel 2","13401","2002-03-18"
"13433","Staffel 3","13401","2003-04-25"
"13442","Staffel 4","13401","2004-03-05"
"13451","Staffel 5","13401","2005-07-22"
"13460","Staffel 6","13401","2006-08-25"
"13471","Staffel 7","13401","2007-03-30"
"13490","Season 1","13489","2007-06-10"
"13578","Season 1","13577","1999-05-08"
"13579","Season 2","13577","2000-05-13"
"13626","Season 1","13625","1966-04-29"
"13638","Season 6","13625","1971-04-04"
"13652","Season 1","13651","1986-05-07"
"13657","Season 4","19259","2009-02-23"
"13659","Staffel 1","13655","2005-04-15"
"13660","Staffel 2","13655","2006-03-20"
"13697","Season 2","13625","1967-04-07"
"13765","Season 2","13651","1987-05-04"
"13789","Season 3","13651","1988-05-09"
"13792","Season 3","13625","1968-03-30"
"13826","Season 4","13651","1989-05-15"
"13863","Season 2","1706","1999-03-12"
"13864","Season 3","1706","2000-02-11"
"13865","Season 4","1706","2001-02-23"
"13866","Season 6","1706","2003-03-21"
"13867","Season 7","1706","2004-03-19"
"13869","Season 10","1706","2007-06-22"
"13870","Season 9","1706","2006-03-10"
"14098","Season 4","13625","1969-03-22"
"14172","Season 1","14171","1994-05-13"
"14173","Season 2","14171","1995-05-19"
"14174","Season 3","14171","1996-05-17"
"14175","Season 4","14171","1997-05-18"
"14176","Season 5","14171","1998-05-17"
"14177","Season 6","14171","1999-05-16"
"14178","Season 7","14171","2000-05-21"
"14179","Season 8","14171","2001-05-20"
"14180","Season 9","14171","2002-05-19"
"14427","Staffel 1","14426","1983-12-18"
"14428","Staffel 2","14426","1990-03-25"
"14452","Season 5","3307","2003-08-10"
"14567","Season 7","6430","2009-05-18"
"14703","Season 3","12924","2008-12-26"
"14757","Shin Seiki Evangerion","14756","1996-03-27"
"14801","Season 1","14837","2003-11-30"
"14815","Season 5","7352","2009-05-17"
"14818","Season 4","6903","2003-05-18"
"14830","Season 1","14807","2007-05-09"
"14865","Staffel 1","14720","2007-04-01"
"14903","Season 1","14902","2007-06-16"
"14925","Season 1","14924","2002-04-23"
"14926","Season 2","14924","2006-10-04"
"14962","Season 1","14958","2006-04-30"
"14963","Season 2","14958","2007-04-22"
"15008","Season 2","14807","2008-03-25"
"15036","Black Lagoon","15035","2006-06-24"
"15037","Black Lagoon: The Second Barrage","15035","2006-12-18"
"15067","Season 5","6903","2004-05-23"
"15076","Season 1","6903","2000-05-21"
"15078","Season 2","6903","2001-05-20"
"15080","Season 3","6903","2002-05-12"
"15082","Season 6","6903","2005-05-15"
"15114","Season 1","15113","1965-05-21"
"15140","Season 1","15139","2009-02-19"
"15178","Season 2","15177","2009-04-28"
"15220","Season 1","283","1993-06-19"
"15241","Season 2","283","1994-06-18"
"15268","Season 3","283","1995-06-17"
"15296","Season 4","283","1996-06-15"
"15323","Season 5","283","1997-06-14"
"15350","Season 6","283","1998-06-13"
"15377","Season 7","283","1999-05-29"
"15406","Season 1","15197","2007-12-12"
"15408","Season 2","15197","2009-03-11"
"15472","Season 1","15470","1983-03-31"
"15481","Season 2","14837","2005-03-27"
"15527","Season 2","8131","2009-05-11"
"15528","Season 1","15122","2009-05-12"
"15599","Season 1","15597","2007-04-26"
"15621","Season 2","15597","2008-05-08"
"15640","Season 1","15639","2007-10-29"
"15863","Season 1","15862","2009-05-19"
"15914","Season 1","15913","2000-05-17"
"15916","Season 7","15913","2006-05-14"
"16012","Season 1","16011","2001-08-19"
"16015","Season 2","16011","2002-06-02"
"16016","Season 3","16011","2003-06-01"
"16017","Season 4","16011","2004-09-12"
"16018","Season 5","16011","2005-08-21"
"16067","1. Staffel","16066","1991-12-17"
"16074","2. Staffel","16066","1993-05-03"
"16139","Season 4","8098","2009-12-13"
"16212","Season 3","6577","2004-06-01"
"16227","Season 4","1501","2009-05-24"
"16230","Season 3","2543","2008-05-19"
"16271","Season 4","2543","2009-05-14"
"16521","Season 3","16520","2003-05-17"
"16551","Season 15","16550","2005-05-18"
