"movie_id","referenced_id","type"
"15648","3558",\N
"14595","2609",\N
"14553","2522",\N
"15720","10338","Influence"
"8294","429","Influence"
"638","426","Remake"
"638","426",\N
"10065","11449","Remake"
"15839","10144","SpinOff"
"2698","310","SpinOff"
"9603","3573",\N
"957","348","Parody"
"8273","2105","SpinOff"
"2770","2105","SpinOff"
"8277","2105","SpinOff"
"4233","4232","SpinOff"
"1635","10803","Influence"
"715","15947","Remake"
"2976","11054","Remake"
"15969","429","Homage"
"10510","11881","Remake"
"8088","164",\N
"14130","11633",\N
"14130","11633","Influence"
"18402","279","Parody"
"12056","11",\N
"11989","218",\N
"11990","11034",\N
"11995","22",\N
"9870","13194",\N
"18631","274",\N
"18624","154",\N
"18633","119",\N
"18645","18559",\N
"18687","8346",\N
"18080","8346",\N
"18703","3597",\N
"18847","18087",\N
"18881","14585","Influence"
"19444","18559","Remake"
"19444","18645",\N
"19434","3530","SpinOff"
"1991","11951",\N
"19850","11645",\N
"1269","1664","Homage"
"1269","1664","Parody"
"7281","1664","Homage"
"7281","1664","Parody"
"20019","1664","Homage"
"20019","1664","Parody"
"714","667","Remake"
"714","691","Remake"
"9748","20086","Remake"
"20153","8408","Homage"
"20153","10331","Homage"
"20153","923","Homage"
"20194","456","Influence"
"20194","458","Influence"
"20194","459","Influence"
"15306","645","Homage"
"20289","10323","Remake"
"63","426",\N
"20713","5548","Remake"
"20859","11474","Remake"
"20862","670","Remake"
"20921","11","Parody"
"21049","10331",\N
"21176","2667","Influence"
"21176","9552","Influence"
"21176","19474","Influence"
"21210","6844","Remake"
"21210","1271","Influence"
"21468","8650","Influence"
"21468","4197","Influence"
"2513","6347","Influence"
"21579","10949","Remake"
"10315","11886",\N
"21591","5991","Remake"
"7089","1954",\N
"14120","5481","Homage"
"16761","1671","SpinOff"
"19836","5208","Remake"
"22475","22239","SpinOff"
"22717","22725","Remake"
"4564","22733","SpinOff"
"18653","22733","SpinOff"
"18653","4564","SpinOff"
"21850","408","Influence"
"11987","915","Influence"
"22863","11368","Remake"
"14651","19278","Homage"
"22635","624",\N
"22634","202",\N
"22634","929",\N
"6576","23144",\N
"6576","11608","Remake"
"23144","11608","Remake"
"23238","9387",\N
"23238","9610",\N
"11618","11772","Remake"
"19516","9992",\N
"22772","1541","Influence"
"23391","5208","Remake"
"22876","967","Remake"
"23695","251",\N
"23695","18708",\N
"22752","22546",\N
"23454","268",\N
