"movie_id","country_code"
"935","GB"
"936","US"
"938","MC"
"938","DE"
"938","ES"
"938","IT"
"939","US"
"940","GB"
"941","US"
"942","US"
"943","US"
"944","US"
"946","US"
"947","ES"
"947","MA"
"947","GB"
"947","SA"
"947","JO"
"818","US"
"281","US"
"813","US"
"961","US"
"962","US"
"963","US"
"814","US"
"814","GB"
"964","US"
"890","DE"
"890","AT"
"967","US"
"965","US"
"966","US"
"968","US"
"975","US"
"976","US"
"977","US"
"978","US"
"979","FR"
"980","US"
"981","US"
"878","DE"
"951","US"
"929","US"
"982","US"
"983","MA"
"984","US"
"985","US"
"986","ES"
"986","CH"
"987","US"
"988","US"
"989","US"
"921","US"
"990","US"
"991","GB"
"992","US"
"993","GB"
"996","US"
"959","US"
"960","US"
"969","US"
"970","US"
"971","US"
"972","US"
"973","US"
"974","US"
"999","US"
"997","US"
"1000","US"
"1001","US"
"1002","US"
"510","US"
"1007","US"
"1008","US"
"1009","US"
"1010","US"
"1011","US"
"1012","US"
"1013","US"
"1014","US"
"1015","US"
"1016","US"
"926","US"
"1018","US"
"923","US"
"923","IT"
"1022","US"
"1023","DK"
"1024","NZ"
"1025","US"
"1026","US"
"1027","US"
"1028","US"
"1020","US"
"1029","US"
"1030","US"
"1031","US"
"1032","US"
"1033","US"
"1034","US"
"1035","US"
"1036","US"
"1037","US"
"1038","US"
"1039","AT"
"1040","IT"
"1041","US"
"1042","US"
"1043","US"
"1044","US"
"1045","US"
"1046","US"
"1047","US"
"1048","US"
"1049","US"
"1050","CN"
"219","ES"
"1051","US"
"919","JP"
"1052","GB"
"957","US"
"1058","US"
"1059","JP"
"1061","US"
"1062","US"
"1063","US"
"1064","US"
"1065","US"
"1066","US"
"1067","US"
"1068","US"
"1069","US"
"1070","US"
"1071","US"
"1072","US"
"1073","US"
"1074","US"
"1075","DE"
"1075","RO"
"1075","FR"
"1076","US"
"1077","US"
"1078","US"
"1079","US"
"1080","US"
"1081","US"
"1082","US"
"1083","US"
"1084","US"
"1085","US"
"1086","US"
"1087","US"
"1088","NZ"
"235","US"
"244","US"
"1089","US"
"924","US"
"954","US"
"955","US"
"955","DE"
"956","US"
"956","DE"
"270","DE"
"1090","US"
"1093","FR"
"1092","AT"
"1092","GB"
"1091","US"
"1091","CA"
"1095","US"
"1096","US"
"1097","US"
"1098","US"
"1099","US"
"1100","US"
"1101","US"
"1102","US"
"922","US"
"922","DE"
"922","JP"
"994","GB"
"1103","US"
"1104","US"
"1105","US"
"1106","US"
"1107","US"
"1108","US"
"1109","US"
"1110","US"
"1111","US"
"1112","US"
"1113","US"
"1114","MN"
"1115","DE"
"948","US"
"1116","IE"
"925","US"
"1118","US"
"1119","US"
"1120","US"
"1121","US"
"1122","US"
"1123","ZA"
"1124","US"
"1125","US"
"1126","NZ"
"1127","ES"
"1132","US"
"1133","US"
"1134","US"
"1135","US"
"1136","US"
"1137","US"
"1138","US"
"1139","US"
"1140","US"
"1142","US"
"1162","US"
"1163","US"
"1144","US"
"1145","US"
"1146","US"
"1147","US"
"1148","US"
"1149","US"
"1150","US"
"1151","US"
"1152","US"
"1154","US"
"1155","US"
"1156","US"
"1157","US"
"1158","US"
"1159","US"
"1131","US"
"1165","GB"
"1153","US"
"950","US"
"718","US"
"472","US"
"474","US"
"514","US"
"515","US"
"516","US"
"1194","US"
"1195","US"
"1196","US"
"1197","US"
"1198","US"
"1199","US"
"1200","US"
"1201","US"
"1202","US"
"1203","US"
"1204","US"
"1205","US"
"1212","US"
"1211","US"
"1210","US"
"1209","US"
"1208","US"
"1207","US"
"1206","US"
"812","US"
"949","US"
"815","US"
"920","US"
"1213","US"
"1213","IT"
"1169","US"
"1170","US"
"1168","US"
"1171","US"
"1167","US"
"1172","US"
