"person_id","name"
"1893","Caleb Casey Affleck-Boldt"
"1897","Bernard Jeffery McCullough"
"1900","Qin Shaobo"
"1913","Susan J. Blommaert"
"1920","Winona Laura Horowitz"
"1927","William Blake McEdwards"
"1927","Blake Edwards	 "
"1932","Edda Kathleen van Heemstra Hepburn-Ruston"
"1932","Audrey Kathleen van Heemstra Ruston"
"1937","Mickey Rooney"
"1942","José Luis de Villalonga"
"1949","Elvia Allmann"
"1955","Darlene K. Vogel"
"1957","Sophie Maupu"
"1957","Sophie Danièle Sylvie Maupu"
"1979","Kevin Spacey Fowler"
"1979","Kevin Matthew Fowler"
"1999","Ed Shearmur"
"1999","Ed Shearmur"
"2000","Lev Milstein"
"2016","George Joseph Somerville"
"2016","George J. Summerville"
"2016","George 'Slim' Summerville"
"2016","George S. Summerville"
"2016","Slim Summerville"
"2016","George Summerville"
"2031","Amanda Mackey"
"2041","Andre Romell Young"
"2053","William Archibald Paxton"
"2055","Robert Davi"
"2081","George Risk Sawaya Jr."
"2090","Issur Danielovitch Demsky"
"2090","Issur Danielovitch"
"2100","Lawrence M. Konner"
"2106","Walter Elias Disney"
"2109","Kim Victoria Cattrall"
"2121","Mary Joe Slater"
"2124","Iman Abdulmajid"
"2142","Alexandra Chun"
"2142","Bok Yun Chon"
"2142","Yun Bok Chon"
"2142","Bok Yun Chun"
"2142","Bokyun Chun"
"2157","Robin McLaurin Williams"
"2177","Lloyd Vernet Bridges, Jr."
"2178","Forest Steven Whitaker"
"2185","James Sbardellati"
"2189","Renaud Séchan"
"2201","Max Carl Adolf von Sydow"
"2209","Jan de Bont"
"2219","Tobias Vincent Maguire"
"2222","Lloyd Vernet Bridges III"
"2222","Bumblin' Beau Bridges"
"2224","Christian Michael Leonard Hawkins"
"2226","Sydney Pollack"
"2227","Nicole Mary Kidman"
"2228","Sean Justin Penn"
"2230","Pamela Suzette Grier"
"2231","Samuel Leroy Jackson"
"2260","Steven Ernest Bernard Zaillian"
"2263","Malcolm McDowell"
"2263","Malcolm Mc Dowell"
"2263","Malcolm MacDowell"
"2263","Malcom McDowell"
"2263","Malcolm Mcdowell"
"2268","Warren Clark"
"2282","Sir Ben Kingsley"
"2284","Walter Carlos"
"2294","Robert Rodríguez"
"2294","Robert Anthony Rodriguez"
"2297","Jessica Marie Alba"
"2299","Joshua Daniel Hartnett"
"2303","Ernst Wilhelm Wenders"
"2304","Anatole Daumann"
"2314","Peter Michael Falk"
"2315","Hans-Martin Stier"
"2338","Bettina Böhler"
"2343","Katharina Schüttler"
"2361","Tonino Delli Colli"
"2367","Helmuth Qualtinger "
"2369","Michael Lonsdale"
"2393","Marina Sirtis"
"2395","Caryn Elaine Johnson"
"2424","Pierre-Jacques Bénichou	 "
"2434","Katherine Edwina Gibbs"
"2435","Herbert Brough Falcon Marshall"
"2436","Charles Sherman Ruggles"
"2455","Chris Wynne"
"2455","Greg Wynne"
"2461","Mel Columcille Gerard Gibson"
"2468","Seán Mac Fhionnghaile"
"2482","David Patrick O'Hara"
"2482","David O’Hara"
"2486","Thomas E. Sanders"
"2488","Alan Ladd junior"
"2490","Korda Sándor"
"2491","Jane Alice Peters"
"2492","Benjamin Kubelsky"
"2493","Charles Langford Modini Stack"
"2495","Lionell Atwill"
"2497","Sig Rumann"
"2500","Werner Richard Heymann"
"2524","Edward Thomas Hardy"
"2532","Cathy Sandrich Geldfond"
"2537","Shin'ichi Chiba"
"2538","Kuriyama Chiaki"
"2538","栗山 千明"
"2560","Henri Girard"
"2560","Henri Georges Girard"
"2562","Jean Clouzot"
"2620","Harriet Manamela "
"2624","Richard Pagano"
"2628","Kiefer William Frederick Dempsey George Rufus Sutherland"
"2630","Anastasiya Kinski"
"2630","Nastassia Kinski"
"2630","Nastassja Nakszynski"
"2632","Christopher Julius Rock III"
"2636","Alfred Joseph Hitchcock"
"2638","Alexander Archibald Leach"
"2638","Archibald Alec Leach"
"2651","Edward Binns"
"2662","Francesco Rosario Capra"
"2669","Raymond Hart Massey"
"2685","Beverly Mitchell"
"2690","Peter Lindsay Weir"
"2701","Jorge Martín"
"2705","William Anderson"
"2711","William Wisher"
"2725","R. W. Fassbinder"
"2725","Franz Walsch"
"2725","Rainer Werner Fassbinder als Franz Walsch"
"2725","Franz Walsch (Pseudonym von Fassbinder)"
"2730","Selma-Karolina Karlovac"
"2730","Elma Karlovace"
"2730","Selma Karlovace"
